Name,compass.d.h-
Comment,COMPASS isoscalar h-. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.64,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.6553442651731014,0.6324555320336759,0.6782329983125268,1.2849,0.0631,0.11487005999999998,0.022538563147904974,0.10172968165916683,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.65,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.6996716267026624,0.6782329983125268,0.7211102550927979,0.9758,0.0558,0.0897736,0.017116608233890322,0.10172968165916664,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.66,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.7478534621671407,0.7211102550927979,0.7745966692414834,0.7384,0.0389,0.06904039999999999,0.01295235039957431,0.07629726124437516,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.67,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.7996088971825077,0.7745966692414834,0.8246211251235321,0.5161,0.0326,0.0505778,0.009052963219420777,0.07629726124437516,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.68,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.8482004569158335,0.8246211251235321,0.8717797887081347,0.4832,0.0334,0.047740160000000004,0.008475860933199224,0.07629726124437526,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.69,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.902258847008508,0.8717797887081347,0.9327379053088815,0.3205,0.0229,0.03317175,0.00562192348735586,0.05548891726863645,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.70,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.9663689526544408,0.9327379053088815,1.0,0.2551,0.0177,0.02558653,0.0044747353560826205,0.04695216076576927,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.71,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,1.029150262212918,1.0,1.0583005244258363,0.1799,0.0153,0.019465180000000002,0.003155644416147642,0.05086484082958337,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.72,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,1.0859266984959204,1.0583005244258363,1.1135528725660044,0.1605,0.0148,0.01783155,0.002815347019409097,0.05086484082958337,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.73,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,1.1441434425065387,1.1135528725660044,1.174734012447073,0.1055,0.0108,0.0123013,0.0018505863585523967,0.043598434996785805,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.74,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,1.2038084065204342,1.174734012447073,1.2328828005937953,0.0674,0.0082,0.00851262,0.001182270337122574,0.043598434996785805,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.75,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,1.2645154701376837,1.2328828005937953,1.296148139681572,0.0555,0.0067,0.0071484,0.0009735312123190335,0.03814863062218763,True,0.1,0.9,25.0,10000.0,0.938,0.139
